Dates	Category	Descript	DayOfWeek	PdDistrict	Resolution	Address	X	Y
5-13-15 18:45	LARCENY-THEFT	GRAND THEFT FROM LOCKED AUTO	Wednesday	SOUTHERN	NONE	0 Block of FREELON ST	-122.3964115	37.77918761
5-13-15 18:45	OTHER OFFENSES	DRIVERS LICENSE, SUSPENDED OR REVOKED	Wednesday	MISSION	ARREST, BOOKED	17TH ST - TREAT AV	-122.4135917	37.76382223
5-13-15 18:45	NON-CRIMINAL	LOST PROPERTY	Wednesday	CENTRAL	NONE	PACIFIC AV - SANSOME ST	-122.4020426	37.79750489
5-13-15 18:42	NON-CRIMINAL	AIDED CASE, MENTAL DISTURBED	Wednesday	NORTHERN	NONE	1900 Block of POLK ST	-122.4214269	37.79460283
5-13-15 18:42	WEAPON LAWS	EXHIBITING DEADLY WEAPON IN A THREATING MANNER	Wednesday	NORTHERN	NONE	1900 Block of POLK ST	-122.4214269	37.79460283
5-13-15 18:39	OTHER OFFENSES	DRIVERS LICENSE, SUSPENDED OR REVOKED	Wednesday	TENDERLOIN	ARREST, CITED	200 Block of GOLDEN GATE AV	-122.4142634	37.78175698
5-13-15 18:30	OTHER OFFENSES	TRAFFIC VIOLATION	Wednesday	INGLESIDE	ARREST, BOOKED	3100 Block of HARRISON ST	-122.4115042	37.74778591
5-13-15 18:30	LARCENY-THEFT	GRAND THEFT FROM A BUILDING	Wednesday	PARK	NONE	1000 Block of SCOTT ST	-122.4369999	37.77916217
5-13-15 18:30	LARCENY-THEFT	GRAND THEFT FROM LOCKED AUTO	Wednesday	RICHMOND	NONE	1000 Block of POINTLOBOS AV	-122.5136421	37.77846922
5-13-15 18:30	BURGLARY	BURGLARY OF RESIDENCE, ATTEMPTED FORCIBLE ENTRY	Wednesday	BAYVIEW	NONE	1300 Block of FELTON ST	-122.417938	37.72660514
5-13-15 18:30	LARCENY-THEFT	GRAND THEFT FROM LOCKED AUTO	Wednesday	NORTHERN	NONE	1500 Block of FILLMORE ST	-122.4327438	37.78384245
5-13-15 18:30	LARCENY-THEFT	GRAND THEFT FROM LOCKED AUTO	Wednesday	CENTRAL	NONE	PINE ST - GRANT AV	-122.4057448	37.79149808
5-13-15 18:20	LARCENY-THEFT	PETTY THEFT OF PROPERTY	Wednesday	NORTHERN	NONE	600 Block of VANNESS AV	-122.4206914	37.78148325
5-13-15 18:16	NON-CRIMINAL	AIDED CASE, MENTAL DISTURBED	Wednesday	TENDERLOIN	NONE	400 Block of EDDY ST	-122.4150887	37.78367196
5-13-15 18:15	LARCENY-THEFT	GRAND THEFT FROM LOCKED AUTO	Wednesday	TARAVAL	NONE	WESTPORTAL AV - VICENTE ST	-122.4669911	37.73972316
5-13-15 18:15	LARCENY-THEFT	PETTY THEFT FROM LOCKED AUTO	Wednesday	CENTRAL	NONE	GREENWICH ST - LEAVENWORTH ST	-122.4178006	37.80126838
5-13-15 18:10	LARCENY-THEFT	GRAND THEFT FROM UNLOCKED AUTO	Wednesday	CENTRAL	NONE	BAY ST - HYDE ST	-122.42018	37.80478965
5-13-15 18:05	LARCENY-THEFT	GRAND THEFT FROM LOCKED AUTO	Wednesday	BAYVIEW	NONE	SAN BRUNO AV - BURROWS ST	-122.4040999	37.72883734
5-13-15 18:02	OTHER OFFENSES	TRAFFIC VIOLATION	Wednesday	MISSION	ARREST, BOOKED	25TH ST - SHOTWELL ST	-122.4150147	37.75083639
5-13-15 18:00	BURGLARY	BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY	Wednesday	SOUTHERN	NONE	0 Block of 6TH ST	-122.4095043	37.78152627
5-13-15 18:00	LARCENY-THEFT	GRAND THEFT FROM UNLOCKED AUTO	Wednesday	BAYVIEW	NONE	ILLINOIS ST - 20TH ST	-122.3875713	37.76054996
5-13-15 18:00	LARCENY-THEFT	GRAND THEFT FROM LOCKED AUTO	Wednesday	PARK	NONE	CASTRO ST - 16TH ST	-122.4353184	37.76410203
5-13-15 18:00	LARCENY-THEFT	GRAND THEFT FROM LOCKED AUTO	Wednesday	PARK	NONE	COLE ST - FULTON ST	-122.4513601	37.77517416
5-13-15 18:00	LARCENY-THEFT	GRAND THEFT FROM LOCKED AUTO	Wednesday	CENTRAL	NONE	LEAVENWORTH ST - BAY ST	-122.418534	37.80499774
5-13-15 17:55	FORGERY-COUNTERFEITING	FORGERY, NOTES	Wednesday	SOUTHERN	ARREST, BOOKED	1200 Block of MARKET ST	-122.4154488	37.77829352
5-13-15 17:55	FORGERY-COUNTERFEITING	CHECKS, POSSESSION WITH INTENT TO PASS	Wednesday	SOUTHERN	ARREST, BOOKED	1200 Block of MARKET ST	-122.4154488	37.77829352
5-13-15 17:55	BURGLARY	BURGLARY,STORE UNDER CONSTRUCTION, UNLAWFUL ENTRY	Wednesday	SOUTHERN	ARREST, BOOKED	1200 Block of MARKET ST	-122.4154488	37.77829352
5-13-15 17:50	NON-CRIMINAL	FOUND PROPERTY	Wednesday	CENTRAL	NONE	400 Block of GREEN ST	-122.4070086	37.79969689
5-13-15 17:48	LARCENY-THEFT	GRAND THEFT SHOPLIFTING	Wednesday	NORTHERN	NONE	0 Block of DANIELBURNHAM CT	-122.4225406	37.78690887
5-13-15 17:47	DRUG-NARCOTIC	POSSESSION OF NARCOTICS PARAPHERNALIA	Wednesday	BAYVIEW	NONE	0 Block of WHITFIELD CT	-122.3818379	37.73110435
5-13-15 17:47	OTHER OFFENSES	RESISTING ARREST	Wednesday	BAYVIEW	NONE	0 Block of WHITFIELD CT	-122.3818379	37.73110435
5-13-15 17:47	ASSAULT	CHILD ABUSE (PHYSICAL)	Wednesday	BAYVIEW	NONE	0 Block of WHITFIELD CT	-122.3818379	37.73110435
5-13-15 17:47	STOLEN PROPERTY	STOLEN PROPERTY, POSSESSION WITH KNOWLEDGE, RECEIVING	Wednesday	BAYVIEW	NONE	0 Block of WHITFIELD CT	-122.3818379	37.73110435
5-13-15 17:45	SECONDARY CODES	DOMESTIC VIOLENCE	Wednesday	CENTRAL	ARREST, BOOKED	700 Block of GEARY ST	-122.4156327	37.78635878
5-13-15 17:45	LARCENY-THEFT	GRAND THEFT FROM LOCKED AUTO	Wednesday	RICHMOND	NONE	500 Block of JOHNFKENNEDY DR	-122.4662047	37.77254054
5-13-15 17:45	OTHER OFFENSES	STAY AWAY ORDER VIOLATION, DV RELATED	Wednesday	CENTRAL	ARREST, BOOKED	700 Block of GEARY ST	-122.4156327	37.78635878
5-13-15 17:40	ASSAULT	THREATS AGAINST LIFE	Wednesday	CENTRAL	NONE	1400 Block of STOCKTON ST	-122.4090315	37.79925319
5-13-15 17:40	LARCENY-THEFT	GRAND THEFT FROM LOCKED AUTO	Wednesday	INGLESIDE	NONE	SAN JOSE AV - 29TH ST	-122.4226722	37.74394327
5-13-15 17:37	WARRANTS	ENROUTE TO OUTSIDE JURISDICTION	Wednesday	TENDERLOIN	NONE	EDDY ST - LEAVENWORTH ST	-122.414243	37.78372403
5-13-15 17:37	WARRANTS	WARRANT ARREST	Wednesday	TENDERLOIN	NONE	EDDY ST - LEAVENWORTH ST	-122.414243	37.78372403
5-13-15 17:35	NON-CRIMINAL	AIDED CASE	Wednesday	SOUTHERN	NONE	1300 Block of MISSION ST	-122.4156581	37.77539248
5-13-15 17:30	LARCENY-THEFT	PETTY THEFT FROM A BUILDING	Wednesday	MISSION	NONE	2300 Block of MISSION ST	-122.4190589	37.75942275
5-13-15 17:30	OTHER OFFENSES	DRIVERS LICENSE, SUSPENDED OR REVOKED	Wednesday	INGLESIDE	ARREST, CITED	CRESCENT AV - ANDOVER ST	-122.4168243	37.73488852
5-13-15 17:30	LARCENY-THEFT	GRAND THEFT FROM LOCKED AUTO	Wednesday	SOUTHERN	NONE	11TH ST - HARRISON ST	-122.4124833	37.77063059
5-13-15 17:28	OTHER OFFENSES	DRIVERS LICENSE, SUSPENDED OR REVOKED	Wednesday	MISSION	ARREST, BOOKED	23RD ST - VERMONT ST	-122.4035248	37.75445344
5-13-15 17:27	TRESPASS	TRESPASSING	Wednesday	TENDERLOIN	NONE	100 Block of EDDY ST	-122.4101352	37.78418891
5-13-15 17:20	BURGLARY	BURGLARY OF HOTEL ROOM, UNLAWFUL ENTRY	Wednesday	CENTRAL	NONE	600 Block of JONES ST	-122.4132985	37.78705782
5-13-15 17:12	DRUG-NARCOTIC	POSSESSION OF MARIJUANA	Wednesday	SOUTHERN	ARREST, BOOKED	6TH ST - NATOMA ST	-122.4076931	37.78016307
5-13-15 17:07	VANDALISM	MALICIOUS MISCHIEF, VANDALISM	Wednesday	NORTHERN	NONE	1100 Block of FILLMORE ST	-122.4319796	37.78004785
5-13-15 17:00	VANDALISM	MALICIOUS MISCHIEF, VANDALISM OF VEHICLES	Wednesday	INGLESIDE	NONE	500 Block of TOMPKINS AV	-122.4131567	37.73710675
5-13-15 17:00	OTHER OFFENSES	LOST-STOLEN LICENSE PLATE	Wednesday	INGLESIDE	NONE	0 Block of BROOK ST	-122.4234664	37.74072837
5-13-15 17:00	BURGLARY	BURGLARY,BLDG. UNDER CONSTRUCTION, UNLAWFUL ENTRY	Wednesday	NORTHERN	NONE	500 Block of GROVE ST	-122.4256351	37.77743878
5-13-15 17:00	LARCENY-THEFT	GRAND THEFT FROM LOCKED AUTO	Wednesday	CENTRAL	NONE	500 Block of NORTHPOINT ST	-122.4162596	37.80618612
5-13-15 17:00	LARCENY-THEFT	PETTY THEFT FROM LOCKED AUTO	Wednesday	RICHMOND	NONE	400 Block of 39TH AV	-122.4997301	37.78035003
5-13-15 17:00	VANDALISM	MALICIOUS MISCHIEF, VANDALISM OF VEHICLES	Wednesday	TENDERLOIN	NONE	LEAVENWORTH ST - EDDY ST	-122.414243	37.78372403
5-13-15 17:00	VEHICLE THEFT	STOLEN AUTOMOBILE	Wednesday	MISSION	NONE	16TH ST - SANCHEZ ST	-122.4308826	37.76437256
5-13-15 17:00	NON-CRIMINAL	LOST PROPERTY	Wednesday	TENDERLOIN	NONE	JONES ST - GEARY ST	-122.4131745	37.78671902
5-13-15 16:50	ROBBERY	ROBBERY OF A COMMERCIAL ESTABLISHMENT W- A KNIFE	Wednesday	INGLESIDE	NONE	4600 Block of MISSION ST	-122.4350413	37.72425605
5-13-15 16:50	FORGERY-COUNTERFEITING	FORGERY & COUNTERFEITING (GENERAL)	Wednesday	INGLESIDE	ARREST, BOOKED	400 Block of CORTLAND AV	-122.4174505	37.73920707
5-13-15 16:47	TRESPASS	TRESPASSING	Wednesday	NORTHERN	ARREST, BOOKED	100 Block of STEINER ST	-122.4319275	37.77073153
5-13-15 16:46	LARCENY-THEFT	GRAND THEFT FROM LOCKED AUTO	Wednesday	RICHMOND	NONE	500 Block of JOHNFKENNEDY DR	-122.4662047	37.77254054
5-13-15 16:45	VANDALISM	MALICIOUS MISCHIEF, VANDALISM OF VEHICLES	Wednesday	CENTRAL	NONE	CALIFORNIA ST - STOCKTON ST	-122.4075398	37.79224918
